version,start_time,end_time,primary_visual,secondary_visual,text_or_subtitle,effect,notes
full_mv,00:00.000,00:03.000,SING_003_chorus_close_take1 or STORY_003_turn_head,abstract_mv_title,庙堂之外 / 守望,quick_cut_or_push_in,前三秒钩子
full_mv,00:03.000,00:07.000,BROLL_002_lantern + BROLL_007_empty_corridor,BROLL_001_roof_eaves,,slow_dissolve,建立园林古风空间
full_mv,00:07.000,00:11.000,SING_002_45_medium_full,STORY_008_sleeve_detail,待校对,clean_subtitle,主歌进入
full_mv,00:11.000,00:15.000,STORY_001_corridor_back_walk,BROLL_003_window_grid,待校对,soft_overlay,背影和窗格
full_mv,00:15.000,00:19.000,STORY_007_hand_railing,SING_002_45_medium_full,待校对,cut_on_beat,手部细节
full_mv,00:19.000,00:24.000,STORY_005_stop_steps,BROLL_004_stone_steps,待校对,slow_motion_optional,停步
full_mv,00:24.000,00:28.000,STORY_003_turn_head,BROLL_008_gate_detail,待校对,push_in,情绪推进
full_mv,00:28.000,00:32.000,STORY_004_look_up,STORY_009_push_door,待校对,light_flash_subtle,副歌前抬升
full_mv,00:32.000,00:34.000,STORY_002_gate_stand_back,abstract_mv_light_path,待校对,hold_then_flash,进入副歌
full_mv,00:34.000,00:38.000,SING_003_chorus_close_take1,STORY_002_gate_stand_back,待校对,big_subtitle,副歌第一句
full_mv,00:38.000,00:42.000,SING_001_front_close_full,STORY_004_look_up,待校对,highlight_word,重点词放大
full_mv,00:42.000,00:46.000,SING_004_chorus_close_take2,STORY_009_push_door,待校对,white_flash_once,情绪峰值
full_mv,00:46.000,00:50.000,SING_003_chorus_close_take1,STORY_006_leave_frame,待校对,cut_on_beat,副歌收束
full_mv,00:50.000,00:54.000,STORY_006_leave_frame,BROLL_006_water_reflection,待校对,slow_dissolve,余韵
full_mv,00:54.000,00:58.050,STORY_002_gate_stand_back or BROLL_002_lantern,abstract_mv_outro,,fade_out,结尾留白
hook_15s,00:00.000,00:03.000,SING_003_chorus_close_take1,STORY_003_turn_head,庙堂之外,quick_cut,短版开头
hook_15s,00:03.000,00:10.000,SING_001_front_close_full,STORY_004_look_up,待校对,big_subtitle,副歌金句
hook_15s,00:10.000,00:15.000,STORY_002_gate_stand_back,BROLL_002_lantern,守望,fade_out,短版收束
story_30s,00:00.000,00:03.000,SING_003_chorus_close_take1,STORY_003_turn_head,庙堂之外 / 守望,quick_cut,抖音钩子
story_30s,00:03.000,00:12.000,STORY_001_corridor_back_walk + SING_002_45_medium_full,BROLL_003_window_grid,待校对,clean_subtitle,建立情绪
story_30s,00:12.000,00:21.000,STORY_003_turn_head + STORY_004_look_up,STORY_009_push_door,待校对,push_in,推进
story_30s,00:21.000,00:30.000,SING_003_chorus_close_take1 + STORY_002_gate_stand_back,BROLL_002_lantern,待校对,big_subtitle,副歌释放
