section,start_time,end_time,lyric,subtitle_style,notes
hook,00:00.000,00:03.000,待校对或使用副歌金句,big_highlight,抖音开头钩子；前三秒必须有脸或强动作
intro,00:03.000,00:07.000,,none,长廊/门洞/灯光建立古风场景
verse1,00:07.000,00:11.000,待校对,small_clean,正脸或45度轻唱；字幕小
verse1,00:11.000,00:15.000,待校对,small_clean,背影走廊/衣袖细节
verse1,00:15.000,00:19.000,待校对,small_clean,窗格/低头/手扶栏杆
verse1,00:19.000,00:24.000,待校对,small_clean,侧脸演唱和空镜穿插
rise,00:24.000,00:28.000,待校对,medium_emotion,停步回头；画面开始推进
rise,00:28.000,00:32.000,待校对,medium_emotion,抬头/转身/门洞光线
rise,00:32.000,00:34.000,待校对,medium_emotion,副歌前保留一个情绪停顿
chorus,00:34.000,00:38.000,待校对,big_highlight,副歌第一句；正脸近景
chorus,00:38.000,00:42.000,待校对,big_highlight,重点词可放大或闪白
chorus,00:42.000,00:46.000,待校对,big_highlight,演唱主镜头+剧情动作交替
chorus,00:46.000,00:50.000,待校对,big_highlight,副歌收束；强表情
outro,00:50.000,00:54.000,待校对,medium_emotion,背影走远/灯光慢下
outro,00:54.000,00:58.050,,none,尾奏留白；停在门外或画面渐暗
